id,privacy_api_class,privacy_api_method,privacy_api,description
226,android.telephony.CarrierConfigManager,getConfigForSubId,Landroid/telephony/CarrierConfigManager;.getConfigForSubId:(I)Landroid/os/PersistableBundle;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
227,android.net.wifi.WifiManager,getConfiguredNetworks,Landroid/net/wifi/WifiManager;.getConfiguredNetworks:()Ljava/util/List;,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
228,android.bluetooth.BluetoothHeadsetClient,getConnectedDevices,,Required to be able to connect to paired Bluetooth devices.
229,android.bluetooth.BluetoothHeadset,getConnectedDevices,Landroid/bluetooth/BluetoothHeadset;.getConnectedDevices:()Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
230,android.bluetooth.BluetoothA2dp,getConnectedDevices,Landroid/bluetooth/BluetoothA2dp;.getConnectedDevices:()Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
231,android.bluetooth.BluetoothAvrcpController,getConnectedDevices,,Required to be able to connect to paired Bluetooth devices.
232,android.bluetooth.BluetoothSap,getConnectedDevices,,Required to be able to connect to paired Bluetooth devices.
233,android.bluetooth.BluetoothHidHost,getConnectedDevices,,Required to be able to connect to paired Bluetooth devices.
234,android.bluetooth.BluetoothHearingAid,getConnectedDevices,Landroid/bluetooth/BluetoothHearingAid;.getConnectedDevices:()Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
235,android.bluetooth.BluetoothManager,getConnectedDevices,Landroid/bluetooth/BluetoothManager;.getConnectedDevices:(I)Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
236,android.bluetooth.BluetoothHealth,getConnectedDevices,Landroid/bluetooth/BluetoothHealth;.getConnectedDevices:()Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
237,android.bluetooth.BluetoothHidDevice,getConnectedDevices,Landroid/bluetooth/BluetoothHidDevice;.getConnectedDevices:()Ljava/util/List;,Required to be able to connect to paired Bluetooth devices.
238,android.bluetooth.BluetoothLeAudio,getConnectedDevices,,Required to be able to connect to paired Bluetooth devices.
239,android.net.wifi.WifiManager,getConnectionInfo,Landroid/net/wifi/WifiManager;.getConnectionInfo:()Landroid/net/wifi/WifiInfo;,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
240,android.bluetooth.BluetoothLeAudio,getConnectionPolicy,,Required to be able to connect to paired Bluetooth devices.
241,android.bluetooth.BluetoothHeadsetClient,getConnectionState,,Required to be able to connect to paired Bluetooth devices.
242,android.bluetooth.BluetoothA2dp,getConnectionState,Landroid/bluetooth/BluetoothA2dp;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;)I,Required to be able to connect to paired Bluetooth devices.
243,android.bluetooth.BluetoothHeadset,getConnectionState,Landroid/bluetooth/BluetoothHeadset;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;)I,Required to be able to connect to paired Bluetooth devices.
244,android.bluetooth.BluetoothHearingAid,getConnectionState,Landroid/bluetooth/BluetoothHearingAid;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;)I,Required to be able to connect to paired Bluetooth devices.
245,android.bluetooth.BluetoothManager,getConnectionState,Landroid/bluetooth/BluetoothManager;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;I)I,Required to be able to connect to paired Bluetooth devices.
246,android.bluetooth.BluetoothHealth,getConnectionState,Landroid/bluetooth/BluetoothHealth;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;)I,Required to be able to connect to paired Bluetooth devices.
247,android.bluetooth.BluetoothMap,getConnectionState,,Required to be able to connect to paired Bluetooth devices.
248,android.bluetooth.BluetoothHidDevice,getConnectionState,Landroid/bluetooth/BluetoothHidDevice;.getConnectionState:(Landroid/bluetooth/BluetoothDevice;)I,Required to be able to connect to paired Bluetooth devices.
249,android.bluetooth.BluetoothLeAudio,getConnectionState,,Required to be able to connect to paired Bluetooth devices.
250,android.bluetooth.BluetoothHeadsetClient,getCurrentAgFeatures,,Required to be able to connect to paired Bluetooth devices.
251,android.bluetooth.BluetoothHeadsetClient,getCurrentCalls,,Required to be able to connect to paired Bluetooth devices.
252,android.location.LocationManager,getCurrentLocation,Landroid/location/LocationManager;.getCurrentLocation:(Ljava/lang/String;Landroid/os/CancellationSignal;Ljava/util/concurrent/Executor;Ljava/util/function/Consumer;)V,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
